"Name","Expect","Exit","Status","Output","Args"
"health","PASS","0","PASS","[INFO] PIJAK backend started. | [SUCCESS] Health check success. | {""ok"":true,""service"":""pijak-backend"",""mode"":""local-csv""} |","health"
"register U01 Raka","PASS","0","PASS","[INFO] PIJAK backend started. | [WARNING] users.csv belum ada. | {""ok"":true,""data"":{""id"":""U01"",""name"":""Raka Mahendra"",""role_title"":""Kreator Muda"",""level"":1,""xp"":0,""skills"":"""",""stats_hours"":0,""stats_co2"":0,""created_at"":""2026-05-24 16:45:16""}} |","register --name Raka Mahendra --email raka@pijak.com --phone 08123001 --password 123 --role_title Kreator Muda"
"register U02 Ayu","PASS","0","PASS","[INFO] PIJAK backend started. | [SUCCESS] Users berhasil dimuat. | {""ok"":true,""data"":{""id"":""U02"",""name"":""Ayu Lestari"",""role_title"":""Kreator Muda"",""level"":1,""xp"":0,""skills"":"""",""stats_hours"":0,""stats_co2"":0,""created_at"":""2026-05-24 16:45:16""}} |","register --name Ayu Lestari --email ayu@pijak.com --phone 08123002 --password 123 --role_title Kreator Muda"
"register U03 Jonan","PASS","0","PASS","[INFO] PIJAK backend started. | [SUCCESS] Users berhasil dimuat. | {""ok"":true,""data"":{""id"":""U03"",""name"":""Jonan"",""role_title"":""Programmer Muda"",""level"":1,""xp"":0,""skills"":"""",""stats_hours"":0,""stats_co2"":0,""created_at"":""2026-05-24 16:45:16""}} |","register --name Jonan --email jonan@pijak.com --phone 08123003 --password 123 --role_title Programmer Muda"
"register U04 Nando","PASS","0","PASS","[INFO] PIJAK backend started. | [SUCCESS] Users berhasil dimuat. | {""ok"":true,""data"":{""id"":""U04"",""name"":""Nando"",""role_title"":""Kreator Muda"",""level"":1,""xp"":0,""skills"":"""",""stats_hours"":0,""stats_co2"":0,""created_at"":""2026-05-24 16:45:16""}} |","register --name Nando --email nando@pijak.com --phone 08123004 --password 123 --role_title Kreator Muda"
"register duplicate email","FAIL","1","EXPECTED_FAIL","[INFO] PIJAK backend started. | [SUCCESS] Users berhasil dimuat. | {""ok"":false,""error"":""Email sudah terdaftar! Gunakan email lain.""} |","register --name Duplikat --email raka@pijak.com --phone 08123999 --password 123"
"register missing email and phone","FAIL","1","EXPECTED_FAIL","[INFO] PIJAK backend started. | [SUCCESS] Users berhasil dimuat. | {""ok"":false,""error"":""Wajib isi email atau nomor telepon!""} |","register --name Tanpa Kontak --password 123"
"list-users","PASS","0","PASS","[INFO] PIJAK backend started. | [SUCCESS] Users berhasil dimuat. | {""ok"":true,""data"":[{""id"":""U01"",""name"":""Raka Mahendra"",""role_title"":""Kreator Muda"",""level"":1,""xp"":0,""skills"":"""",""stats_hours"":0,""stats_co2"":0,""created_at"":""2026-05-24 16:45:16""},{""id"":""U02"",""name"":""Ayu Lestari"",""role_title"":""Kreator Muda"",""level"":1,""xp"":0,""skills"":"""",""stats_hours"":0,""stats_co2"":0,""created_at"":""2026-05-24 16:45:16""},{""id"":""U03"",""name"":""Jonan"",""role_title"":""Programmer Muda"",""level"":1,""xp"":0,""skills"":"""",""stats_hours"":0,""stats_co2"":0,""created_at"":""2026-05-24 16:45:16""},{""id"":""U04"",""name"":""Nando"",""role_title"":""Kreator Muda"",""level"":1,""xp"":0,""skills"":"""",""stats_hours"":0,""stats_co2"":0,""created_at"":""2026-05-24 16:45:16""}]} |","list-users"
"get-user U02","PASS","0","PASS","[INFO] PIJAK backend started. | [SUCCESS] Users berhasil dimuat. | {""ok"":true,""data"":{""id"":""U02"",""name"":""Ayu Lestari"",""role_title"":""Kreator Muda"",""level"":1,""xp"":0,""skills"":"""",""stats_hours"":0,""stats_co2"":0,""created_at"":""2026-05-24 16:45:16""}} |","get-user --id U02"
"update-user U03","PASS","0","PASS","[INFO] PIJAK backend started. | [SUCCESS] Users berhasil dimuat. | [SUCCESS] User berhasil diupdate. | {""ok"":true,""data"":{""id"":""U03"",""name"":""Jonan Update"",""role_title"":""Programmer Muda"",""level"":2,""xp"":50,""skills"":""C++"",""stats_hours"":10,""stats_co2"":3,""created_at"":""2026-05-24 16:45:16""}} |","update-user --id U03 --name Jonan Update --skills C++ --level 2 --xp 50 --stats_hours 10 --stats_co2 3"
